timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.4,8,25,0.314,1.246,-0.020000000000000018,-67.45
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.4,8,50,0.332,1.246,-0.0020000000000000018,-67.432
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.4,8,100,0.338,1.242,0.0040000000000000036,-67.426
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,16,25,0.338,1.276,0.0040000000000000036,-67.426
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,16,50,0.324,1.292,-0.010000000000000009,-67.44
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,16,100,0.334,1.272,0.0,-67.42999999999999
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,32,25,0.324,1.228,-0.010000000000000009,-67.44
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,32,50,0.326,1.26,-0.008000000000000007,-67.438
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.4,32,100,0.334,1.208,0.0,-67.42999999999999
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,64,25,0.312,1.272,-0.02200000000000002,-67.452
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,64,50,0.326,1.172,-0.008000000000000007,-67.438
20250818_103825,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.334,0.2,64,100,0.324,1.236,-0.010000000000000009,-67.44
