timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.6,8,25,0.332,1.182,0.05199999999999999,-71.82000000000001
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.6,8,50,0.33,1.17,0.04999999999999999,-71.822
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.8,8,100,0.33,1.202,0.04999999999999999,-71.822
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.6,16,25,0.334,1.188,0.05399999999999999,-71.818
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.6,16,50,0.326,1.176,0.045999999999999985,-71.82600000000001
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.4,16,100,0.32,1.2,0.03999999999999998,-71.83200000000001
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.4,32,25,0.316,1.19,0.035999999999999976,-71.836
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.4,32,50,0.324,1.212,0.043999999999999984,-71.828
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.6,32,100,0.292,1.13,0.011999999999999955,-71.86
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.4,64,25,0.29,1.116,0.009999999999999953,-71.862
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.2,64,50,0.272,1.166,-0.008000000000000007,-71.88
20250818_105147,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.28,0.2,64,100,0.266,1.142,-0.014000000000000012,-71.886
