timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,8,25,1.12,2.734,-0.05999999999999983,-68.642
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,8,50,1.118,2.748,-0.06199999999999983,-68.644
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,8,100,1.124,2.766,-0.05599999999999983,-68.638
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,16,25,1.136,2.744,-0.04400000000000004,-68.626
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,16,50,1.102,2.744,-0.07799999999999985,-68.66
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,16,100,1.118,2.728,-0.06199999999999983,-68.644
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,32,25,1.072,2.702,-0.10799999999999987,-68.69
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,32,50,1.08,2.724,-0.09999999999999987,-68.682
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,32,100,1.07,2.742,-0.10999999999999988,-68.69200000000001
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,64,25,1.014,2.616,-0.16599999999999993,-68.748
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,64,50,1.016,2.654,-0.16399999999999992,-68.746
20250818_124559,resnet18,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,69.762,1.18,0.2,64,100,1.028,2.622,-0.1519999999999999,-68.734
