timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.4,8,25,0.782,2.766,0.134,-66.982
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.4,8,50,0.708,2.638,0.05999999999999994,-67.056
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.4,8,100,0.72,2.742,0.07199999999999995,-67.044
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.4,16,25,0.712,2.752,0.06399999999999995,-67.05199999999999
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.4,16,50,0.704,2.722,0.05599999999999994,-67.06
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.4,16,100,0.672,2.784,0.02400000000000002,-67.092
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.2,32,25,0.664,2.472,0.016000000000000014,-67.1
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.2,32,50,0.682,2.482,0.03400000000000003,-67.082
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.2,32,100,0.714,2.552,0.06599999999999995,-67.05
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.2,64,25,0.65,2.346,0.0020000000000000018,-67.11399999999999
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.2,64,50,0.692,2.462,0.04399999999999993,-67.072
20250818_130922,mnasnet0_5,DEFAULT,64,32,224,4,4,learnable,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.648,0.2,64,100,0.622,2.384,-0.026000000000000023,-67.142
