timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,8,25,66.056,86.55,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,8,50,66.118,86.55,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,8,100,66.05,86.528,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,16,25,66.054,86.562,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,16,50,66.002,86.558,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,16,100,66.04,86.564,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,32,25,66.006,86.52,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,32,50,66.02,86.532,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,32,100,66.008,86.516,True,10
20250817_165735,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,64,25,65.838,86.5,True,10
