timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,8,25,66.056,86.55,-0.018000000000000682,-1.7079999999999984
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,8,50,66.118,86.55,0.04399999999999693,-1.6460000000000008
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,8,100,66.05,86.528,-0.02400000000000091,-1.7139999999999986
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.4,16,25,66.068,86.522,-0.006000000000000227,-1.695999999999998
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,16,50,66.002,86.558,-0.07200000000000273,-1.7620000000000005
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,16,100,66.04,86.564,-0.033999999999991815,-1.7239999999999895
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,32,25,66.006,86.52,-0.06799999999999784,-1.7579999999999956
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,32,50,66.02,86.532,-0.054000000000002046,-1.7439999999999998
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,32,100,66.008,86.516,-0.0660000000000025,-1.7560000000000002
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,64,25,65.838,86.5,-0.2360000000000042,-1.926000000000002
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,64,50,65.74,86.406,-0.3340000000000032,-2.024000000000001
20250817_173513,mnasnet0_5,DEFAULT,64,32,224,8,8,lsq,True,adaround,20000,0.2,0.01,1.0,False,67.764,66.074,0.2,64,100,65.862,86.486,-0.2120000000000033,-1.902000000000001
