timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,8,25,80.77,95.41,-0.036000000000001364,-0.07000000000000739
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,8,50,80.77,95.404,-0.036000000000001364,-0.07000000000000739
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.4,8,100,80.784,95.422,-0.02199999999999136,-0.055999999999997385
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,16,25,80.772,95.39,-0.033999999999991815,-0.06799999999999784
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,16,50,80.78,95.394,-0.02599999999999625,-0.060000000000002274
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.4,16,100,80.8,95.402,-0.006000000000000227,-0.04000000000000625
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,32,25,80.736,95.37,-0.06999999999999318,-0.1039999999999992
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,32,50,80.716,95.418,-0.09000000000000341,-0.12400000000000944
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,32,100,80.738,95.382,-0.06799999999999784,-0.10200000000000387
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,64,25,80.54,95.362,-0.26599999999999113,-0.29999999999999716
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,64,50,80.514,95.35,-0.2920000000000016,-0.3260000000000076
20250817_181538,resnet50,DEFAULT,64,32,224,8,8,lsqplus,True,adaround,20000,0.2,0.01,1.0,False,80.84,80.806,0.2,64,100,80.35,95.296,-0.45600000000000307,-0.4900000000000091
