timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,8,25,66.122,86.61,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,8,50,66.122,86.582,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,8,100,66.112,86.562,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,16,25,66.154,86.574,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,16,50,66.118,86.564,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,16,100,66.128,86.55,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,32,25,66.094,86.538,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,32,50,66.1,86.552,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,32,100,66.132,86.57,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,64,25,65.906,86.474,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,64,50,65.936,86.442,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,64,100,65.96,86.474,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,8,25,66.176,86.634,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,8,50,66.154,86.572,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,8,100,66.126,86.568,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,16,25,66.134,86.606,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,16,50,66.174,86.538,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,16,100,66.082,86.552,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,32,25,65.882,86.514,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,32,50,66.04,86.516,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,32,100,66.054,86.538,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,64,25,65.46,86.222,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,64,50,65.564,86.27,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,64,100,65.668,86.316,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,8,25,66.096,86.594,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,8,50,66.068,86.572,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,8,100,66.036,86.59,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,16,25,66.008,86.562,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,16,50,66.024,86.508,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,16,100,65.96,86.502,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,32,25,65.62,86.446,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,32,50,65.786,86.492,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,32,100,65.752,86.48,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,64,25,64.986,85.998,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,64,50,65.064,86.07,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.6,64,100,65.15,86.144,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,8,25,66.0,86.574,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,8,50,65.986,86.552,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,8,100,65.968,86.572,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,16,25,65.832,86.502,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,16,50,65.782,86.472,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,16,100,65.798,86.42,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,32,25,65.318,86.288,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,32,50,65.43,86.322,True,10
20250817_172406,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.8,32,100,65.354,86.364,True,10
