timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,8,25,66.176,86.634,0.08400000000000318,-1.5879999999999939
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,8,50,66.154,86.572,0.06199999999999761,-1.6099999999999994
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,8,100,66.126,86.568,0.034000000000006025,-1.637999999999991
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,16,25,66.154,86.574,0.06199999999999761,-1.6099999999999994
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.4,16,50,66.174,86.538,0.08200000000000784,-1.5899999999999892
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,16,100,66.128,86.55,0.036000000000001364,-1.6359999999999957
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,32,25,66.094,86.538,0.001999999999995339,-1.6700000000000017
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,32,50,66.1,86.552,0.007999999999995566,-1.6640000000000015
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,32,100,66.132,86.57,0.04000000000000625,-1.6319999999999908
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,64,25,65.906,86.474,-0.18599999999999284,-1.8579999999999899
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,64,50,65.936,86.442,-0.1559999999999917,-1.8279999999999887
20250817_173527,mnasnet0_5,DEFAULT,64,32,224,8,8,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,66.092,0.2,64,100,65.96,86.474,-0.132000000000005,-1.804000000000002
