timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,25,71.996,90.804,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,50,72.03,90.812,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,100,72.022,90.806,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,25,71.992,90.804,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,50,72.03,90.784,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,100,71.998,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,25,72.022,90.786,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,50,72.01,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,100,71.986,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,25,71.918,90.766,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,50,71.968,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,100,71.922,90.79,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,8,25,71.978,90.796,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,8,50,71.97,90.816,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,8,100,72.008,90.816,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,16,25,71.984,90.79,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,16,50,72.026,90.782,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,16,100,71.992,90.8,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,32,25,71.984,90.788,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,32,50,72.014,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,32,100,71.97,90.788,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,64,25,71.86,90.752,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,64,50,71.956,90.8,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,64,100,71.876,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,8,25,71.962,90.788,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,8,50,71.978,90.794,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,8,100,71.994,90.812,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,16,25,72.004,90.79,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,16,50,72.022,90.772,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,16,100,71.966,90.788,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,32,25,71.956,90.784,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,32,50,72.006,90.754,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,32,100,71.964,90.79,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,64,25,71.788,90.708,True,10
20250817_172630,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,64,50,71.932,90.798,True,10
