timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,25,71.996,90.804,-0.02600000000001046,-0.1560000000000059
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,50,72.03,90.812,0.007999999999995566,-0.12199999999999989
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,8,100,72.022,90.806,0.0,-0.12999999999999545
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.6,16,25,72.004,90.79,-0.018000000000000682,-0.14799999999999613
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,50,72.03,90.784,0.007999999999995566,-0.12199999999999989
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,16,100,71.998,90.794,-0.02400000000000091,-0.15399999999999636
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,25,72.022,90.786,0.0,-0.12999999999999545
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.4,32,50,72.014,90.794,-0.008000000000009777,-0.13800000000000523
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,32,100,71.986,90.794,-0.036000000000001364,-0.16599999999999682
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,25,71.918,90.766,-0.1039999999999992,-0.23399999999999466
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,50,71.968,90.794,-0.054000000000002046,-0.1839999999999975
20250817_174745,mobilenet_v2,DEFAULT,64,32,224,8,8,lsqplus,True,brecq,20000,0.2,0.01,1.0,False,72.152,72.022,0.2,64,100,71.922,90.79,-0.10000000000000853,-0.23000000000000398
