timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.8,8,25,0.154,0.574,0.0040000000000000036,-80.686
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,8,50,0.152,0.566,0.0020000000000000018,-80.688
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,8,100,0.15,0.562,0.0,-80.69
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,16,25,0.15,0.562,0.0,-80.69
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.4,16,50,0.154,0.578,0.0040000000000000036,-80.686
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,16,100,0.15,0.57,0.0,-80.69
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,32,25,0.152,0.57,0.0020000000000000018,-80.688
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.4,32,50,0.154,0.564,0.0040000000000000036,-80.686
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.4,32,100,0.154,0.57,0.0040000000000000036,-80.686
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,64,25,0.148,0.57,-0.0020000000000000018,-80.69200000000001
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.2,64,50,0.148,0.566,-0.0020000000000000018,-80.69200000000001
20250818_164049,resnet50,DEFAULT,64,32,224,2,2,fixed,True,qdrop,20000,0.2,0.01,1.0,False,80.84,0.15,0.4,64,100,0.156,0.568,0.006000000000000005,-80.684
