timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,8,25,0.238,1.006,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,8,50,0.24,1.01,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,8,100,0.24,0.992,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,16,25,0.24,1.02,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,16,50,0.236,1.006,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,16,100,0.242,0.99,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,32,25,0.236,0.976,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,32,50,0.246,0.986,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,32,100,0.244,0.992,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,64,25,0.216,0.98,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,64,50,0.216,0.944,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.2,64,100,0.208,0.904,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,8,25,0.246,1.028,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,8,50,0.238,1.038,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,8,100,0.242,1.016,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,16,25,0.236,1.038,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,16,50,0.26,0.99,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,16,100,0.24,1.054,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,32,25,0.244,1.034,True,10
20250818_152747,mobilenet_v2,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,72.152,0.24,0.4,32,50,0.262,1.042,True,10
