timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,8,25,0.214,1.072,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,8,50,0.22,1.058,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,8,100,0.218,1.054,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,16,25,0.226,1.07,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,16,50,0.216,1.078,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,16,100,0.21,1.038,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,32,25,0.206,1.05,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,32,50,0.198,1.056,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,32,100,0.224,1.07,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,64,25,0.214,1.012,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,64,50,0.214,1.076,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.2,64,100,0.206,0.974,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,8,25,0.22,1.09,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,8,50,0.22,1.056,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,8,100,0.21,1.048,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,16,25,0.22,1.054,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,16,50,0.22,1.056,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,16,100,0.208,1.056,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,32,25,0.204,0.938,True,10
20250818_153139,mnasnet0_5,DEFAULT,64,32,224,2,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,67.764,0.234,0.4,32,50,0.212,0.928,True,10
