timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.8,8,25,0.432,1.526,0.02799999999999997,-67.332
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.6,8,50,0.43,1.396,0.025999999999999968,-67.33399999999999
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.8,8,100,0.464,1.514,0.06,-67.3
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.8,16,25,0.444,1.512,0.03999999999999998,-67.32
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.8,16,50,0.448,1.574,0.043999999999999984,-67.316
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.8,16,100,0.44,1.592,0.035999999999999976,-67.324
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.6,32,25,0.422,1.406,0.01799999999999996,-67.342
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.2,32,50,0.404,1.312,0.0,-67.36
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.2,32,100,0.38,1.304,-0.02400000000000002,-67.384
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.2,64,25,0.406,1.322,0.0020000000000000018,-67.35799999999999
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.2,64,50,0.376,1.318,-0.028000000000000025,-67.38799999999999
20250818_190415,mnasnet0_5,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,67.764,0.404,0.2,64,100,0.372,1.318,-0.03200000000000003,-67.392
