timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,8,25,0.196,0.778,0.04200000000000001,-80.98400000000001
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,8,50,0.186,0.808,0.032,-80.994
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,8,100,0.188,0.81,0.034,-80.992
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,16,25,0.206,0.762,0.05199999999999999,-80.974
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,16,50,0.226,0.776,0.07200000000000001,-80.95400000000001
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,16,100,0.214,0.744,0.06,-80.96600000000001
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,0.2,32,25,0.148,0.758,-0.006000000000000005,-81.03200000000001
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,32,50,0.182,0.788,0.027999999999999997,-80.998
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,0.2,32,100,0.156,0.744,0.0020000000000000018,-81.024
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,1.0,64,25,0.186,0.744,0.032,-80.994
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,0.8,64,50,0.156,0.722,0.0020000000000000018,-81.024
20250818_200404,regnet_x_3_2gf,DEFAULT,64,32,224,2,4,fixed,True,brecq,20000,0.2,0.01,1.0,False,81.18,0.154,0.8,64,100,0.148,0.648,-0.006000000000000005,-81.03200000000001
