timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,8,25,0.17,1.03,0.02200000000000002,-80.67
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,1.0,8,50,0.168,0.674,0.020000000000000018,-80.672
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,8,100,0.164,1.002,0.016000000000000014,-80.676
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,16,25,0.174,0.928,0.025999999999999995,-80.666
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,16,50,0.184,0.982,0.036000000000000004,-80.656
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,16,100,0.184,1.004,0.036000000000000004,-80.656
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.6,32,25,0.17,0.912,0.02200000000000002,-80.67
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,1.0,32,50,0.186,0.656,0.038000000000000006,-80.654
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,32,100,0.2,0.884,0.05200000000000002,-80.64
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,64,25,0.188,0.752,0.04000000000000001,-80.652
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.8,64,50,0.17,0.806,0.02200000000000002,-80.67
20250818_191224,resnet50,DEFAULT,64,32,224,2,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.148,0.2,64,100,0.15,0.876,0.0020000000000000018,-80.69
