timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,8,25,0.146,0.576,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,8,50,0.142,0.554,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,8,100,0.13,0.558,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,16,25,0.136,0.57,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,16,50,0.134,0.594,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,16,100,0.132,0.604,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,32,25,0.134,0.55,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,32,50,0.146,0.592,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,32,100,0.13,0.57,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,64,25,0.14,0.61,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,64,50,0.142,0.594,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.2,64,100,0.144,0.576,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,8,25,0.138,0.602,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,8,50,0.146,0.59,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,8,100,0.134,0.592,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,16,25,0.136,0.584,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,16,50,0.126,0.602,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,16,100,0.148,0.614,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,32,25,0.096,0.542,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,32,50,0.112,0.544,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,32,100,0.12,0.608,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,64,25,0.116,0.578,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,64,50,0.116,0.596,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.4,64,100,0.104,0.562,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,8,25,0.122,0.588,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,8,50,0.11,0.566,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,8,100,0.126,0.576,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,16,25,0.126,0.544,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,16,50,0.098,0.538,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,16,100,0.124,0.556,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,32,25,0.102,0.502,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,32,50,0.074,0.472,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,32,100,0.104,0.53,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,64,25,0.1,0.556,True,10
20250818_182057,regnet_x_3_2gf,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.14,0.6,64,50,0.098,0.518,True,10
