timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,alpha,num_clusters,pca_dim,top1_accuracy,top5_accuracy,extract_logits,logits_batches
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,8,25,0.122,0.552,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,8,50,0.122,0.568,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,8,100,0.118,0.574,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,16,25,0.1,0.532,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,16,50,0.102,0.548,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,16,100,0.12,0.562,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,32,25,0.09,0.53,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,32,50,0.116,0.516,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,32,100,0.128,0.538,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,64,25,0.076,0.488,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,64,50,0.074,0.504,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.2,64,100,0.094,0.494,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.4,8,25,0.114,0.514,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.4,8,50,0.112,0.558,True,10
20250818_173102,resnet50,DEFAULT,64,32,224,4,2,fixed,True,adaround,20000,0.2,0.01,1.0,False,80.84,0.13,0.4,8,100,0.134,0.582,True,10
