timestamp,model,weights,batch_size,calib_batches,img_size,w_bits,a_bits,quant_model,advanced,adv_mode,adv_steps,adv_warmup,adv_lambda,adv_prob,keep_gpu,fp32_accuracy,baseline_ptq_acc,best_alpha,num_clusters,pca_dim,best_top1_accuracy,best_top5_accuracy,improvement_over_baseline,improvement_over_fp32
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.4,8,25,0.956,2.018,0.006000000000000005,-80.224
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.4,8,50,0.976,2.018,0.026000000000000023,-80.20400000000001
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,8,100,0.96,2.034,0.010000000000000009,-80.22000000000001
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,16,25,0.974,2.026,0.02400000000000002,-80.206
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,16,50,0.95,2.026,0.0,-80.23
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,16,100,0.96,2.03,0.010000000000000009,-80.22000000000001
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,32,25,0.944,2.016,-0.006000000000000005,-80.236
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,32,50,0.97,2.006,0.020000000000000018,-80.21000000000001
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,32,100,0.942,2.02,-0.008000000000000007,-80.23800000000001
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,64,25,0.76,1.832,-0.18999999999999995,-80.42
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,64,50,0.836,1.954,-0.11399999999999999,-80.34400000000001
20250818_170429,regnet_x_3_2gf,DEFAULT,64,32,224,4,4,fixed,True,adaround,20000,0.2,0.01,1.0,False,81.18,0.95,0.2,64,100,0.868,1.948,-0.08199999999999996,-80.31200000000001
